,time,mag,depth,latitude,longitude,place
21,2024-09-21 02:32:17.280,5.6,10.0,-29.039,-176.5546,Kermadec Islands region
168,2024-09-20 10:51:55.008,5.2,10.0,-17.5802,-172.4362,"202 km NE of Neiafu, Tonga"
218,2024-09-20 05:13:42.856,5.2,97.302,23.4315,142.4829,"Volcano Islands, Japan region"
391,2024-09-19 10:17:52.738,5.1,10.916,-5.6036,82.6218,South Indian Ocean
409,2024-09-19 08:41:00.245,5.6,185.308,-5.5393,147.4772,"119 km NNW of Finschhafen, Papua New Guinea"
420,2024-09-19 07:45:36.146,5.2,49.636,2.16,128.7027,"90 km ENE of Tobelo, Indonesia"
441,2024-09-19 05:20:57.829,5.5,10.0,10.5615,91.6829,"168 km SW of Port Blair, India"
652,2024-09-18 11:53:56.757,5.7,35.0,-27.4393,-176.7388,Kermadec Islands region
772,2024-09-18 00:25:13.808,5.2,10.0,-25.7298,47.2709,"82 km SSE of Tôlanaro, Madagascar"
1151,2024-09-17 00:49:42.183,5.1,6.1279,32.411,-102.057,"34 km WSW of Ackerly, Texas"
1305,2024-09-16 14:40:21.712,5.2,133.536,45.5447,26.2689,"6 km N of Cașoca, Romania"
1315,2024-09-16 14:13:47.151,5.5,15.711,31.6412,131.7956,"40 km E of Nichinan, Japan"
1351,2024-09-16 11:36:34.579,6.3,31.0,17.1601,147.1988,"265 km NE of Saipan, Northern Mariana Islands"
1438,2024-09-16 05:12:18.097,5.4,24.669,-20.7996,169.3861,"139 km S of Isangel, Vanuatu"
1535,2024-09-15 22:22:48.950,6.5,10.0,51.6041,-130.6214,"272 km WNW of Port McNeill, Canada"
1699,2024-09-15 13:08:09.082,5.5,10.649,1.3376,118.4614,"171 km NE of Bontang, Indonesia"
1885,2024-09-15 04:58:36.474,5.2,57.284,13.2732,-89.7691,"35 km S of Acajutla, El Salvador"
2018,2024-09-14 21:37:37.583,5.1,127.937,1.8996,99.0849,"38 km ENE of Sibolga, Indonesia"
